# Partidos de DOMPAVOLEI, temporada 2026/27 (Federación Galega de Voleibol)
# fecha | hora | categoría | local - visitante | pabellón | competición
sáb 2026-09-19 | 10:00 | Infantil F | EMEVE COLEXIO SAN LORENZO IF - DOMPAVOLEI IF1 | POLIDEPORTIVO DE LOS INSTITUTOS, PISTA 2 | TORNEO APERTURA INFANTIL F
sáb 2026-09-19 | 11:30 | Infantil F | DOMPAVOLEI IF1 - CLUB VOLEIBOL PONTEVEDRA IF2 | POLIDEPORTIVO DE LOS INSTITUTOS, PISTA 2 | TORNEO APERTURA INFANTIL F
sáb 2026-09-19 | 11:30 | Cadete F | CLUB VOLEIBOL SANTIAGO - DOMPAVOLEI CF1 | CARBALLO CALERO - PISTA CENTRAL | TORNEO APERTURA CADETE F
sáb 2026-09-19 | 13:00 | Cadete F | PANADERIA ROISER XIRIA VOLEII - DOMPAVOLEI CF1 | CARBALLO CALERO - PISTA CENTRAL | TORNEO APERTURA CADETE F
sáb 2026-09-26 | 10:00 | Infantil F | SEI SAN NARCISO IF - DOMPAVOLEI IF1 | PABELLÓN COLEGIO SAN NARCISO - PISTA 1 | TORNEO APERTURA INFANTIL F
sáb 2026-09-26 | 11:30 | Infantil F | DOMPAVOLEI IF1 - CV OLEIROS IFA | PABELLÓN COLEGIO SAN NARCISO - PISTA 1 | TORNEO APERTURA INFANTIL F
sáb 2026-09-26 | 11:30 | Juvenil F | CV CIUDAD DE A CORUÑA JF B - DOMPAVOLEI XF1 | A PINGUELA - PISTA 1 | TORNEO APERTURA XUVENIL F
sáb 2026-09-26 | 13:00 | Juvenil F | RIBEIRA SACRA A - DOMPAVOLEI XF1 | A PINGUELA - PISTA 1 | TORNEO APERTURA XUVENIL F
dom 2026-09-27 | 11:30 | Cadete F | DOMPAVOLEI CF1 - PESCADOR XAV SANXENXO | POLIDEPORTIVO TORRES COLOMER PISTA 1 | TORNEO APERTURA CADETE F
sáb 2026-10-03 | Fecha y hora por confirmar | Infantil F | CV OLEIROS IFA - DOMPAVOLEI IF1 | VALLE INCLAN | TORNEO APERTURA INFANTIL F
sáb 2026-10-03 | Fecha y hora por confirmar | Infantil F | SEI SAN NARCISO IF - DOMPAVOLEI IF1 | VALLE INCLAN | TORNEO APERTURA INFANTIL F
dom 2026-10-04 | Fecha y hora por confirmar | Cadete F | DOMPAVOLEI CF1 - EXCAVACIONES DARIO VOLEY RIVEIRA CADETE AZUL | ANEXO OS REMEDIOS - PISTA 1 | TORNEO APERTURA CADETE F
dom 2026-10-04 | Fecha y hora por confirmar | Cadete F | DOMPAVOLEI CF1 - XUVENIL TEIS B | ANEXO OS REMEDIOS - PISTA 1 | TORNEO APERTURA CADETE F
dom 2026-10-04 | Fecha y hora por confirmar | Juvenil F | DOMPAVOLEI XF1 - CV CIUDAD DE A CORUÑA JF B | ANEXO OS REMEDIOS - PISTA 1 | TORNEO APERTURA XUVENIL F
dom 2026-10-04 | Fecha y hora por confirmar | Juvenil F | DOMPAVOLEI XF1 - RIBEIRA SACRA A | ANEXO OS REMEDIOS - PISTA 1 | TORNEO APERTURA XUVENIL F
